product_type;exporter_cnpj;vol;port_of_export;country_of_destination
SOYBEAN CAKE;2077618002390;10825499.999999998;PARANAGUA;SOUTH KOREA
SOYBEAN OIL;2198775000149;67747.01;PARANAGUA;AUSTRALIA
SOYBEANS;2219378000610;1459527.0;SAO LUIS;CHINA (MAINLAND)
SOYBEANS;2290510000176;6227835.0;PARANAGUA;CHINA (MAINLAND)
SOYBEANS;2391178000217;66000000.0;SANTOS;PAKISTAN
SOYBEAN CAKE;2644907000380;2293558.476;PARANAGUA;TURKEY
SOYBEANS;2734023000155;22868.0;PARANAGUA;CHINA (MAINLAND)
SOYBEANS;2734023000236;4136918.0;SAO FRANCISCO DO SUL;CHINA (MAINLAND)
SOYBEANS;2734023000406;6152946.0;PARANAGUA;CHINA (MAINLAND)
SOYBEANS;2734023000589;4000000.0;PARANAGUA;CHINA (MAINLAND)
SOYBEANS;2734023000821;3788.0;PARANAGUA;CHINA (MAINLAND)
SOYBEANS;2734023000821;6900000.0;SAO FRANCISCO DO SUL;CHINA (MAINLAND)
SOYBEANS;2734023001127;700000.0;SAO FRANCISCO DO SUL;CHINA (MAINLAND)
SOYBEANS;2734023001399;3000000.0;SAO FRANCISCO DO SUL;CHINA (MAINLAND)
SOYBEANS;2734023001984;1300000.0;SAO FRANCISCO DO SUL;CHINA (MAINLAND)
SOYBEANS;2734023002018;2000000.0;PARANAGUA;CHINA (MAINLAND)
SOYBEANS;2734023002018;2000000.0;SAO FRANCISCO DO SUL;CHINA (MAINLAND)
SOYBEAN CAKE;2734023002018;3957830.637;SANTOS;INDONESIA
SOYBEAN CAKE;2734023002018;4546710.0;SANTOS;JAPAN
SOYBEANS;2734023003502;4000000.0;PARANAGUA;CHINA (MAINLAND)
SOYBEANS;2734023003502;3000000.0;SAO LUIS;CHINA (MAINLAND)
SOYBEAN CAKE;2734023003502;1574014.2969999998;SANTOS;INDONESIA
SOYBEANS;2734023003502;2010209.0;SAO FRANCISCO DO SUL;PAKISTAN
SOYBEANS;2734023003502;13000000.0;VITORIA;THAILAND
SOYBEANS;2734023003685;2000000.0;SAO LUIS;EUROPEAN UNION
SOYBEANS;2872904000132;11102.0;SANTOS;THAILAND
SOYBEANS;2937632001930;5000000.0;PARANAGUA;CHINA (MAINLAND)
SOYBEAN OIL;2987873000165;1031000.0;PARANAGUA;MALAYSIA
SOYBEAN OIL;2987873000408;515500.0;PARANAGUA;CHINA (MAINLAND)
SOYBEAN OIL;2987873000408;1031000.0;PARANAGUA;INDIA
SOYBEAN CAKE;2987873000408;5504601.789999999;SANTOS;INDONESIA
SOYBEAN OIL;2990334000185;515500.0;PARANAGUA;BANGLADESH
SOYBEAN OIL;2990334000185;515500.0;PARANAGUA;CHINA (MAINLAND)
SOYBEAN OIL;2990334000690;515500.0;PARANAGUA;CHINA (MAINLAND)
SOYBEAN OIL;2990334001408;1546499.9999999998;PARANAGUA;INDIA
SOYBEAN OIL;2990334001408;515500.0;PARANAGUA;MALAYSIA
SOYBEANS;3086181000109;30000000.0;MANAUS;NORWAY
SOYBEANS;3158618000172;132391.0;SANTOS;THAILAND
SOYBEANS;3209087000876;169699999.0;PARANAGUA;CHINA (MAINLAND)
SOYBEAN CAKE;3209087000876;676451.4720000001;PARANAGUA;FRANCE
SOYBEANS;3209087000876;4000000.0;PARANAGUA;IRAN
SOYBEANS;3209087000876;2000000.0;PARANAGUA;VIETNAM
SOYBEANS;3209087000957;20000000.0;IMBITUBA;CHINA (MAINLAND)
SOYBEANS;3209087001090;188464694.0;IMBITUBA;CHINA (MAINLAND)
SOYBEANS;3209087001090;27003800.0;IMBITUBA;NETHERLANDS
SOYBEANS;3209087001090;204283108.0;IMBITUBA;PAKISTAN
SOYBEAN CAKE;3347747000109;2289960.286;PARANAGUA;EUROPEAN UNION
SOYBEAN CAKE;3470727000120;520490.04;SANTOS;TURKEY
SOYBEAN CAKE;3498116000271;3443784.347;RIO GRANDE;VIETNAM
SOYBEAN CAKE;3706460000209;515532.992;SANTOS;TURKEY
SOYBEANS;3748067000288;547352.0;PARANAGUA;CHINA (MAINLAND)
SOYBEANS;3902252001095;71000000.0;SAO LUIS;CHINA (MAINLAND)
SOYBEAN OIL;3937452000192;1031000.0;PARANAGUA;ARGENTINA
SOYBEAN CAKE;3937452000192;12300223.841999998;PARANAGUA;FRANCE
SOYBEANS;4014942000180;70805000.0;SANTOS;SINGAPORE
SOYBEANS;4409153000148;5000000.0;PARANAGUA;CHINA (MAINLAND)
SOYBEAN CAKE;4409153000148;22808813.0;PARANAGUA;EUROPEAN UNION
SOYBEAN CAKE;4409153000148;20104500.0;PARANAGUA;FRANCE
SOYBEAN OIL;4409153000148;257750.0;PARANAGUA;INDIA
SOYBEAN CAKE;4409153000148;1031000.0;PARANAGUA;POLAND
SOYBEAN CAKE;4409153000148;28868000.0;PARANAGUA;SOUTH KOREA
SOYBEAN CAKE;4409153000148;6701499.999999999;PARANAGUA;THAILAND
SOYBEAN CAKE;4409153000148;23197500.0;PARANAGUA;TURKEY
SOYBEANS;4409153000733;100000.0;PARANAGUA;CHINA (MAINLAND)
SOYBEAN CAKE;4409153000733;6185999.999999999;PARANAGUA;TURKEY
SOYBEAN CAKE;4463344000198;19618682.49;SANTOS;INDONESIA
SOYBEAN OIL;4463344001240;1386871.301;PARANAGUA;BANGLADESH
SOYBEAN OIL;4463344001240;1730381.9430000002;PARANAGUA;INDIA
SOYBEAN CAKE;4470137000160;251893.91999999995;ITAJAI;ARGENTINA
