level;cnpj8;tax_municipality;cnpj
4;3209087;BR-4207304;3209087001090
4;5289245;BR-3550308;5289245000285
4;4485210;BR-3550308;4485210000178
4;60498706;BR-4104907;60498706039010
4;76093731;BR-4112751;76093731003882
4;2003402;BR-3548500;2003402000841
4;75904383;BR-4108601;75904383017369
4;2003402;BR-3550308;2003402005991
4;4485210;BR-4118204;4485210000330
4;60498706;BR-4118204;60498706000319
4;47067525;BR-4115200;47067525017426
4;4485210;BR-4315602;4485210000682
4;60498706;BR-4125704;60498706000661
4;60498706;BR-4115853;60498706041856
4;3209087;BR-3504008;3209087000957
4;80671;BR-3536703;80671001777
4;21294708;BR-4315602;21294708000687
4;77294254;BR-4314100;77294254006044
4;60498706;BR-4104808;60498706035104
4;75904383;BR-4104303;75904383001012
4;6315338;BR-3511102;6315338015140
4;6315338;BR-3540804;6315338015060
4;47067525;BR-4117701;47067525010685
4;32441636;BR-1506708;32441636005396
4;60498706;BR-1506807;60498706033594
4;2003402;BR-2919553;2003402008079
4;60498706;BR-4314100;60498706020930
4;4485210;BR-3548500;4485210001140
4;6315338;BR-3548500;6315338000380
4;2003402;BR-4118204;2003402005720
4;9357997;BR-2513703;9357997000459
4;5056082;BR-4103222;5056082000100
4;5683277;BR-5107040;5683277003103
4;5492968;BR-4126504;5492968000449
4;5492968;BR-4126504;5492968000520
4;5521168;BR-3516200;5521168000166
4;5492968;BR-4315602;5492968000791
4;7028528;BR-3548500;7028528005420
4;6315338;BR-4118204;6315338000461
4;6315338;BR-5107602;6315338000976
4;7028528;BR-4315602;7028528004539
4;7028528;BR-4115200;7028528004296
4;7028528;BR-5107925;7028528004105
4;2734023;BR-4118204;2734023000406
4;2734023;BR-5105259;2734023000821
4;2734023;BR-5108907;2734023003502
4;2734023;BR-1718204;2734023003685
4;4854422;BR-4106902;4854422000690
4;10515785;BR-2919553;10515785003457
4;7720307;BR-4208203;7720307000106
4;75904383;BR-5006606;75904383018250
4;315457;BR-5107602;315457000519
4;6315338;BR-2919553;6315338001948
